F9,F7,F3,Fz,F4,F8,F10,FC5,FC1,FC2,FC6,T9,T7,C3,C4,T8,T10,CP5,CP1,CP2,CP6,P9,P7,P3,Pz,P4,P8,P10
8.0325,10.7886,9.1433,11.6708,1.6173,10.1988,17.3949,12.3175,18.2893,2.2976,-1.5826,11.2469,14.5907,5.1369,4.1143,0.6953,-3.4979,-1.3459,1.3296,-2.1678,-5.3259,-8.7941,-2.882,0.4373,-1.0862,1.0916,4.7748,2.781
8.1841,11.8966,8.222,12.3013,1.8815,9.6876,15.7332,8.3812,15.1989,0.7511,-4.5279,7.425,9.5604,-2.2014,-0.9551,-5.3489,-6.2685,-5.5895,-1.3514,-4.6585,-6.1902,-8.5396,-2.9804,-0.8455,-3.2726,0.3837,5.3637,1.5314
8.2873,14.863,9.4014,13.3043,1.8637,8.3706,13.4767,4.6564,10.684,-1.052,-7.875,2.0907,3.6995,-11.0824,-9.076,-12.4717,-9.412,-9.2792,-4.1044,-7.5669,-7.296,-7.3685,-4.0267,-2.8662,-4.9649,-1.7211,4.0747,-0.8158
10.011,19.5692,15.3264,16.5731,1.7767,8.7121,15.7442,7.2008,10.8173,-1.6496,-8.9417,1.2153,4.0537,-11.2615,-10.6296,-12.8341,-10.6739,-8.4756,-2.6066,-8.2279,-8.81,-8.0066,-5.3619,-1.5644,-1.3881,-1.3373,2.9916,-0.5753
10.5926,20.0118,17.6575,17.5132,1.0671,7.8861,16.1149,8.0899,9.9985,-3.6462,-10.476,0.4146,3.5926,-8.7286,-8.2061,-11.2888,-12.6085,-8.703,-1.8004,-9.5545,-11.4896,-10.5221,-6.9767,-0.5517,1.6169,0.0017,4.3536,0.7993
6.9913,12.9248,10.3001,11.3915,-0.8702,3.763,9.5158,3.0407,5.4851,-6.7408,-12.4914,-2.2969,0.0487,-8.8434,-8.8241,-11.8382,-15.0603,-11.4526,-6.2831,-12.7227,-14.117,-12.1625,-9.8594,-6.2423,-4.0277,-3.71,5.5425,-0.8948
5.4612,9.5883,7.2711,8.6571,-1.4561,2.5932,7.4998,2.2378,4.9308,-6.8727,-11.7324,-1.7981,0.4278,-6.6795,-7.3035,-10.0283,-14.3761,-10.863,-6.9358,-12.4984,-13.985,-12.2161,-10.2134,-7.6562,-5.608,-4.6661,5.6424,-1.1363
6.4708,10.5693,10.5759,10.2983,-1.2803,2.9457,9.1752,4.5553,5.3157,-6.8069,-10.8006,-1.0055,1.4135,-2.5803,-2.803,-6.4612,-13.3493,-8.6662,-3.5906,-10.8857,-13.7968,-12.7254,-9.2627,-3.5064,0.0031,-1.1231,6.2378,1.2439
3.8017,5.0052,6.337,5.7048,-3.045,-0.4844,4.5791,2.258,2.1549,-9.2442,-11.6513,-2.3427,-0.0896,0.6488,-0.7202,-4.154,-14.6236,-9.0718,-5.468,-12.5801,-16.0619,-14.4823,-11.6849,-6.5875,-1.8953,-2.962,7.1316,0.9138
1.6822,0.0243,1.9878,1.8475,-3.7216,-1.9129,1.9727,1.3952,1.6893,-9.0853,-10.0495,-1.1584,0.8188,4.4783,2.4583,-0.8495,-13.0474,-7.764,-5.8181,-11.6415,-15.3698,-14.3708,-11.6236,-7.8254,-3.5171,-3.6345,7.4116,0.9886
2.0315,-0.3182,3.4138,2.4592,-2.3133,-0.7889,3.0113,3.002,1.9407,-6.1804,-5.7442,0.6244,1.7589,8.2481,8.0805,3.8037,-7.7113,-3.3491,-0.5471,-6.1357,-10.2663,-10.8657,-6.5386,-0.7464,3.1536,1.8973,6.7155,3.7234
0.1206,-4.4307,1.44,-0.7344,-2.1037,-1.9188,0.7416,3.4208,0.6671,-4.0073,-1.1424,2.137,2.7587,13.9288,13.6006,9.9432,-2.3254,1.6398,3.0558,-1.2839,-5.8433,-7.4927,-3.1967,2.9475,6.9396,4.5702,5.2877,5.1872
-1.2104,-8.2642,-0.4776,-3.4741,-2.0447,-1.4795,1.1989,6.8204,3.8747,-0.9021,4.1743,7.2241,8.5082,22.8214,20.5378,17.932,3.2239,7.5222,6.43,3.4783,-2.3225,-5.8356,-1.1367,4.9196,8.6354,5.7775,4.1996,6.575
-1.0524,-8.6738,-0.4241,-3.473,-1.537,-0.2437,2.7791,8.9872,6.4217,1.1211,6.7517,10.0819,11.6612,26.1538,23.4389,20.9961,5.9835,10.1324,8.3866,6.0103,-0.2443,-4.865,0.4346,6.6116,9.7568,6.9077,3.7518,7.4057
-2.305,-10.3941,-3.4454,-5.5432,-1.928,-1.0797,0.7866,7.1487,5.6657,0.9163,6.3335,9.4826,10.9483,24.159,20.8043,19.2641,5.4789,8.9683,5.9812,4.9656,-0.401,-4.487,-0.4442,3.355,5.6924,4.1534,3.2268,5.686
-4.0199,-14.2618,-8.7494,-8.6831,-1.9855,-1.4828,-1.375,5.0003,5.7116,1.5948,7.2555,10.262,10.9875,23.7197,20.7296,19.0417,6.5054,8.3207,4.0578,5.2667,0.8552,-3.6722,0.1728,0.9961,1.35,2.5206,3.4681,4.6856
-7.062,-20.4469,-16.755,-13.6219,-2.6729,-4.8586,-8.4175,-2.9643,-0.7416,-1.0939,4.7676,5.4277,3.5601,18.1861,18.3028,14.766,4.2942,3.4295,-0.4367,2.6812,0.3246,-3.3113,0.2358,-2.2345,-3.6031,1.1468,5.247,3.2796
